property_name,property_id,breadcrumbs,price,image_url,description,seller_name,location,property_type,bathrooms,bedrooms
Luxury studio flat for rent at landmark world thondayad,1689967415,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,Luxury studio flat for rent at landmark world thondayad","{'amount': '17,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/ksl8uupe1ait-IN/image;s=850x0,"Luxury studio flat for rent at landmark world thondayad.,Ready to move,Luxury interior,Fully furnished,Luxury facilities and amenities are available,Rent 16k",PN PROPERTIES,"Thondayad, Kozhikode, Kerala,Thondayad, Kozhikode, Kerala",Apartments,1,1
ചില ഫ്ലാറ്റുകൾ നാം അറിയാതെ നമ്മളെ ആ വീട്ടുകാരാക്കും,1709700717,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,ചില ഫ്ലാറ്റുകൾ നാം അറിയാതെ നമ്മളെ ആ വീട്ടുകാരാക്കും","{'amount': '26,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/je2oczyd08ud-IN/image;s=850x0,വാടകയ്ക്കായി ഒരു ഫ്ലാറ്റ് തപ്പിയെടുക്കുക എന്നു പറയുന്നത് കോഴിക്കോട് നഗരത്തിൽ വലിയ പ്രയാസമുള്ള കാര്യമാണ് കാരണം ഓപ്ഷനുകൾ വളരെ പരിമിതമാണ് കോഴിക്കോട് നഗരത്തിൽ എന്നാൽ ചില വാടക ഫ്ലാറ്റുകൾ നമ്മൾ പോയി നോക്കുമ്പോൾ തന്നെ നമ്മളെ ആ വീട്ടുകാർ ആക്കാൻ പ്രേരിപ്പിക്കും നിങ്ങളുടെ താല്പര്യം എന്ത് എന്നുള്ളത് മനസ്സിലാക്കി അത്തരം ഫ്ലാറ്റുകൾ നിങ്ങൾക്ക് വേണ്ടി ഞങ്ങൾ നൽകുന്നു,Brokees,"Thondayad, Kozhikode, Kerala,Thondayad, Kozhikode, Kerala",Apartments,2,2
1 BHK BRANDED FURNISHED FLAT FOR RENT NEAR THONDAYAD,1704500370,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal,1 BHK BRANDED FURNISHED FLAT FOR RENT NEAR THONDAYAD","{'amount': '18,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/sz69v52jzi7l-IN/image;s=850x0,"Branded flat for rent & sale available in Calicut,1bhk branded furnished flat for rent Near Thondayad ,located in a prime location , amenities  :,GYM,Party area,Children play area, Lift ,24 Hr Security,24 Hr power backup,Covered parking , ,Expecting rent : 18000  + mnc ,8️⃣1️⃣2️⃣9️⃣5️⃣0️⃣2️⃣9️⃣9️⃣9️⃣,Note : images shown are for representation purpose only . actual buiding differ .,Call  between : 10 am - 7 pm (Sunday off)",PROPERTY HUB,"Pottammal, Kozhikode, Kerala,Pottammal, Kozhikode, Kerala",Apartments,1,1
2 BHK FURNISHED FLAT FOR RENT NEAR NADAKKAVE,1704499304,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Nadakkavu,2 BHK FURNISHED FLAT FOR RENT NEAR NADAKKAVE","{'amount': '27,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/bgrjewb6tu0t-IN/image;s=850x0,"Branded flat for rent & sale available in Calicut,2bhk furnished flat for rent near Nadakkavu ,located in a prime location ,Only 2 kms away from mavoor road. Car parking available . 2 bedroom attached and balcony facing the east . , amenities  :,GYM,Party area,Children play area, Lift ,24 Hr Security,24 Hr power backup,Covered parking , ,Expecting rent : 27000  + mnc ,8️⃣1️⃣2️⃣9️⃣5️⃣0️⃣2️⃣9️⃣9️⃣9️⃣,Note : images shown are for representation purpose only . actual buiding differ .,Call  between : 10 am - 6 pm (Sunday off)",PROPERTY HUB,"Nadakkavu, Kozhikode, Kerala,Nadakkavu, Kozhikode, Kerala",Apartments,2,2
"2 Bedroom Upstairs of House for RENT - Kamburam Beach, Kozhikode",1707370963,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Beach,2 Bedroom Upstairs of House for RENT - Kamburam Beach, Kozhikode","{'amount': '10,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/q2v0ypti89mk1-IN/image;s=850x0,"Upstairs of a house for rent near Kamburam Beach.,2 bedroom 1 attached and a common toilet.,Rent Rs 10000 per month and deposit 3 months rent.,Genuine clients can contact 9,DOUBLE4,7,1,1,4,4,7,1 for details and site visit.,SERVICE CHARGES AS APPLICABLE.","S Kumar, Vaishali properties","Calicut Beach, Kozhikode, Kerala,Calicut Beach, Kozhikode, Kerala",Houses & Villas,2,2
"2 bhk Furnished Flat for rent at Panniyyankara , Calicut",1699522664,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Panniyankara,2 bhk Furnished Flat for rent at Panniyyankara , Calicut","{'amount': '25,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/yqxgrsu2kscm2-IN/image;s=850x0,"Looking for a rental Flat in the city? we, Big Deals are here to carter your needs,Furnished 2 BHK 1000sq.ft Branded flat is available in the most promising location at Panniyankara , kozhikode,It hosts all the amenities and all the facilities are nearby the city,RENT :25000,Note : Images shown are for representation purpose only. Actual Building / Plot may differ.,For More details, Contact:,Big Deals Realtors,4th floor,hilite business park,palazhi,kozhikode,Big Deals is Kerala’s No 1 real Estate Firm started in 2008 by a group of Professionals. Presently we have 8 branches in Kerala and an overseas branch at UAE , Our vast database of properties make it easier for our customers to get their dream property they deserve . Our specialized and trained relationship officers work tirelessly to find your dream property and negotiate the deal to arrive at the best possible value.,We are Executive Member of National Association of Realtors and Calicut Realtors Association – India with tie up of 43 associations across India and UAE.",Big Deals,"Panniyankara, Kozhikode, Kerala,Panniyankara, Kozhikode, Kerala",Apartments,2,2
2 BHK BRANDED  FLAT FOR RENT AT KOTTOLI,1701171030,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kottuli,2 BHK BRANDED  FLAT FOR RENT AT KOTTOLI","{'amount': '16,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/1sn7yr4ubo6z1-IN/image;s=850x0,"Branded flat for rent & sale available in Calicut,2 BHK Branded  flat for rent at kottoli,located in a prime location,Very close - BMH , ARAYIDATHPALAM, POTTAMMAL, THONDAYAD, MALAPARAMBE,STAR CARE HOSPITAL,, amenities  :,GYM,Party area,Children play area, Lift ,24 Hr Security,24 Hr power backup,Covered parking , ,Expecting rent : 16000 + mnc ,7️⃣5️⃣9️⃣3️⃣0️⃣2️⃣9️⃣9️⃣9️⃣9️⃣,Note : images shown are for representation purpose only . actual building differ .,Call  between : 10 am - 7 pm (Sunday off)",PROPERTY HUB,"Kottuli, Kozhikode, Kerala,Kottuli, Kozhikode, Kerala",Apartments,2,2
5 BHK indipendent house chevayur,1710203967,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevayoor,5 BHK indipendent house chevayur","{'amount': '22,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/mtyo4d2lydj83-IN/image;s=850x0,"chevayur vrindavan colony ,5 BHK 4 bhk attached common bathroom Hall kitchen work area good ground open water well all vehicles acess road frontage",Real Peace Properties,"Chevayoor, Kozhikode, Kerala,Chevayoor, Kozhikode, Kerala",Houses & Villas,4,4+
Karaparamb 4bhk house for rent,1710122469,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Karaparambu,Karaparamb 4bhk house for rent","{'amount': '22,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/rh6glm4uarg53-IN/image;s=850x0,"Karaparamb 4bhk house,Rent 22000,Adwance 70000",Vijesh,"Karaparambu, Kozhikode, Kerala,Karaparambu, Kozhikode, Kerala",Houses & Villas,4,4
Pg only for girls,1710181684,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chanthaparamba,Pg only for girls","{'amount': '5,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/spr6kzmc1zx41-IN/image;s=850x0,"• Pain guest only for girls, • Food and accommodation are providing, • good water and good atmosphere",Ananya praveen,"Chanthaparamba, Kozhikode, Kerala,Chanthaparamba, Kozhikode, Kerala",Apartments,2,3
